       3000. 3200. 3400. 3600. 3800. 4000. 4500. 5000.
       0. 0.5 1.0 1.5 2.0
       3.00  2.43  1.95  1.56  1.25 
       5.07  4.41  3.80  3.22  2.69 
       6.12  5.46  4.84  4.23  3.65 
       7.50  6.85  6.25  5.65  5.07 
       8.37  7.77  7.19  6.64  6.09 
       3.00  2.42  1.91  1.51  1.22 
       5.08  4.43  3.79  3.19  2.67 
       6.14  5.50  4.86  4.22  3.64 
       7.49  6.90  6.29  5.66  5.09 
       8.31  7.76  7.21  6.64  6.08 
       2.83  2.28  1.81  1.44  1.15 
       4.87  4.27  3.66  3.10  2.57 
       5.89  5.32  4.72  4.13  3.54 
       7.24  6.69  6.14  5.59  4.98 
       8.12  7.55  7.04  6.52  5.96 
       2.58  2.07  1.65  1.30  1.05 
       4.58  4.00  3.43  2.89  2.40 
       5.58  5.02  4.45  3.89  3.34 
       6.90  6.33  5.84  5.28  4.75 
       7.87  7.34  6.80  6.29  5.75 
       2.19  1.78  1.44  1.16  0.94 
       4.16  3.62  3.12  2.64  2.16 
       5.16  4.63  4.11  3.60  3.05 
       6.45  5.91  5.42  4.93  4.44 
       7.44  6.90  6.44  5.95  5.48 
       1.81  1.50  1.23  1.00  0.84 
       3.76  3.25  2.77  2.30  1.90 
       4.79  4.26  3.74  3.21  2.73 
       6.10  5.55  5.04  4.53  4.05 
       7.06  6.49  6.03  5.52  5.09 
       0.50  0.47  0.44  0.41  0.34 
       1.71  1.54  1.37  1.20  0.88 
       2.73  2.47  2.21  1.95  1.44 
       4.39  4.04  3.69  3.34  2.59 
       5.47  5.10  4.72  4.35  3.58 
       0.00  0.00  0.00  0.23  0.22 
       0.00  0.00  0.00  0.47  0.43 
       0.00  0.00  0.00  0.85  0.74 
       0.00  0.00  0.00  1.85  1.53 
       0.00  0.00  0.00  3.02  2.56 
       3.69  2.91  2.28  1.80  1.45 
       6.64  5.69  4.78  3.97  3.26 
       8.14  7.21  6.27  5.38  4.54 
      10.03  9.14  8.28  7.42  6.55 
      11.14 10.36  9.56  8.77  8.00 
       3.65  2.86  2.21  1.72  1.38 
       6.64  5.69  4.74  3.90  3.19 
